case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200-capd0-rgn1-supermode3,8995133169315058606,70786,8846,3,true,true,3337/2340/1416/1272/2335,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,6,ptblend200-capd0-rgn1-supermode1,8995133169315058606,70628,8799,3,true,true,3337/2340/1403/1272/2335,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,base,8379784151475158825,67037,8596,3,true,true,3337/1885/1414/1080/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200,8379784151475158825,68968,8551,3,true,true,3337/2089/1414/1188/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1,8379784151475158825,68968,8551,3,true,true,3337/2089/1414/1188/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1-supermode3,8379784151475158825,68645,8532,3,true,true,3337/2072/1414/1162/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,7,ptblend200-capd0-rgn1-supermode1,8379784151475158825,68645,8532,3,true,true,3337/2072/1414/1162/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,base,4485700701370197224,67321,8000,3,true,true,3259/2273/1152/1316/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200,4485700701370197224,67321,7977,3,true,true,3337/2273/1231/1316/2284,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1,4485700701370197224,67321,8000,3,true,true,3259/2273/1152/1316/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1-supermode3,4485700701370197224,67321,8000,3,true,true,3259/2273/1152/1316/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,8,ptblend200-capd0-rgn1-supermode1,4485700701370197224,67803,8019,3,true,true,3294/2273/1152/1316/2445,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,base,17317124537825892903,70392,8866,3,true,true,3337/2400/1505/1514/2117,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,ptblend200,17317124537825892903,71336,8919,3,true,true,3337/2400/1387/1514/2279,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,ptblend200-capd0-rgn1,17317124537825892903,69697,8863,3,true,true,3337/2400/1381/1537/2056,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,ptblend200-capd0-rgn1-supermode3,17317124537825892903,69554,8845,3,true,true,3337/2400/1381/1537/2040,
configured,fixed,106402,303174/303124/303044/302894/303064/303054,917820000,9,ptblend200-capd0-rgn1-supermode1,17317124537825892903,69554,8845,3,true,true,3337/2400/1381/1537/2040,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,0,base,15272099787792637236,65090,8884,3,true,true,3337/2105/1789/1170/1530,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,0,ptblend200,15272099787792637236,67105,9029,3,true,true,3337/2267/1890/1226/1429,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,0,ptblend200-capd0-rgn1,15272099787792637236,67105,9029,3,true,true,3337/2267/1890/1226/1429,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,0,ptblend200-capd0-rgn1-supermode3,15272099787792637236,67105,9029,3,true,true,3337/2267/1890/1226/1429,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,0,ptblend200-capd0-rgn1-supermode1,15272099787792637236,67105,9029,3,true,true,3337/2267/1890/1226/1429,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,1,base,9925051501994846710,68100,9081,3,true,true,3337/2400/2200/1339/835,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,1,ptblend200,9925051501994846710,68604,9140,3,true,true,3337/2400/2196/1430/835,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,1,ptblend200-capd0-rgn1,9925051501994846710,68604,9140,3,true,true,3337/2400/2196/1430/835,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,1,ptblend200-capd0-rgn1-supermode3,9925051501994846710,67874,9149,3,true,true,3337/2400/2200/1253/835,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,1,ptblend200-capd0-rgn1-supermode1,9925051501994846710,68627,9151,3,true,true,3337/2400/2200/1425/835,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,base,3612066084152622161,66517,9067,3,true,true,3337/1985/1786/1228/1661,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200,3612066084152622161,66517,9067,3,true,true,3337/1985/1786/1228/1661,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1,3612066084152622161,66517,9067,3,true,true,3337/1985/1786/1228/1661,
